Comment,Designator,Footprint,LCSC,Quantity
"1,000",R5,R_0201_0603Metric,,1
Conn_01x02_Pin,J1,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,,1
"10,000",R6,R_0201_0603Metric,,1
Conn_01x02_Pin,J3,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,,1
R_Potentiometer,RV1,Potentiometer_Bourns_3314J_Vertical,,1
"1,000",R2,R_0201_0603Metric,,1
R_Potentiometer,RV2,Potentiometer_Bourns_3314J_Vertical,,1
"10,000",R3,R_0201_0603Metric,,1
LM317_SOT-223,U2,SOT-223-3_TabPin2,,1
LM317_SOT-223,U1,SOT-223-3_TabPin2,,1
300,R11,R_0201_0603Metric,,1
"10,000",R9,R_0201_0603Metric,,1
Conn_01x02_Pin,J4,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,,1
300,R1,R_0201_0603Metric,,1
Conn_01x02_Pin,J2,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,,1
300,R4,R_0201_0603Metric,,1
"1,000",R10,R_0201_0603Metric,,1
LM317_SOT-223,U3,SOT-223-3_TabPin2,,1
R_Potentiometer,RV3,Potentiometer_Bourns_3314J_Vertical,,1
